id,event_id,team_id,created_at,updated_at
1,1,210,2018-07-17 10:56:56.331915,2018-07-17 10:56:56.331915
2,1,211,2018-07-17 10:56:56.332370,2018-07-17 10:56:56.332370
3,1,219,2018-07-17 10:56:56.332779,2018-07-17 10:56:56.332779
4,1,212,2018-07-17 10:56:56.333184,2018-07-17 10:56:56.333184
5,1,214,2018-07-17 10:56:56.333588,2018-07-17 10:56:56.333588
6,1,217,2018-07-17 10:56:56.333990,2018-07-17 10:56:56.333990
7,1,213,2018-07-17 10:56:56.334431,2018-07-17 10:56:56.334431
8,1,190,2018-07-17 10:56:56.334839,2018-07-17 10:56:56.334839
9,1,191,2018-07-17 10:56:56.335264,2018-07-17 10:56:56.335264
10,1,131,2018-07-17 10:56:56.335673,2018-07-17 10:56:56.335673
11,1,227,2018-07-17 10:56:56.336077,2018-07-17 10:56:56.336077
12,1,125,2018-07-17 10:56:56.336506,2018-07-17 10:56:56.336506
13,1,146,2018-07-17 10:56:56.336912,2018-07-17 10:56:56.336912
14,2,210,2018-07-17 10:56:57.387197,2018-07-17 10:56:57.387197
15,2,211,2018-07-17 10:56:57.387952,2018-07-17 10:56:57.387952
16,2,191,2018-07-17 10:56:57.388636,2018-07-17 10:56:57.388636
17,2,124,2018-07-17 10:56:57.389233,2018-07-17 10:56:57.389233
18,2,125,2018-07-17 10:56:57.389835,2018-07-17 10:56:57.389835
19,2,147,2018-07-17 10:56:57.390392,2018-07-17 10:56:57.390392
20,2,131,2018-07-17 10:56:57.391014,2018-07-17 10:56:57.391014
21,2,127,2018-07-17 10:56:57.391601,2018-07-17 10:56:57.391601
22,2,129,2018-07-17 10:56:57.392193,2018-07-17 10:56:57.392193
23,2,149,2018-07-17 10:56:57.392630,2018-07-17 10:56:57.392630
24,2,153,2018-07-17 10:56:57.393062,2018-07-17 10:56:57.393062
25,2,137,2018-07-17 10:56:57.393488,2018-07-17 10:56:57.393488
26,2,134,2018-07-17 10:56:57.393923,2018-07-17 10:56:57.393923
27,2,223,2018-07-17 10:56:57.394358,2018-07-17 10:56:57.394358
28,2,146,2018-07-17 10:56:57.394793,2018-07-17 10:56:57.394793
29,2,2,2018-07-17 10:56:57.395216,2018-07-17 10:56:57.395216
30,3,228,2018-07-17 10:56:57.773512,2018-07-17 10:56:57.773512
31,3,125,2018-07-17 10:56:57.773988,2018-07-17 10:56:57.773988
32,3,223,2018-07-17 10:56:57.774424,2018-07-17 10:56:57.774424
33,3,131,2018-07-17 10:56:57.774880,2018-07-17 10:56:57.774880
34,3,127,2018-07-17 10:56:57.775414,2018-07-17 10:56:57.775414
35,3,149,2018-07-17 10:56:57.775985,2018-07-17 10:56:57.775985
36,3,134,2018-07-17 10:56:57.776669,2018-07-17 10:56:57.776669
37,3,137,2018-07-17 10:56:57.777217,2018-07-17 10:56:57.777217
38,3,160,2018-07-17 10:56:57.777797,2018-07-17 10:56:57.777797
39,3,145,2018-07-17 10:56:57.778556,2018-07-17 10:56:57.778556
40,3,146,2018-07-17 10:56:57.779260,2018-07-17 10:56:57.779260
41,3,147,2018-07-17 10:56:57.780301,2018-07-17 10:56:57.780301
42,3,153,2018-07-17 10:56:57.780948,2018-07-17 10:56:57.780948
43,3,97,2018-07-17 10:56:57.781632,2018-07-17 10:56:57.781632
44,3,211,2018-07-17 10:56:57.782256,2018-07-17 10:56:57.782256
45,4,170,2018-07-17 10:56:58.165596,2018-07-17 10:56:58.165596
46,4,134,2018-07-17 10:56:58.166160,2018-07-17 10:56:58.166160
47,4,129,2018-07-17 10:56:58.166919,2018-07-17 10:56:58.166919
48,4,147,2018-07-17 10:56:58.167487,2018-07-17 10:56:58.167487
49,4,153,2018-07-17 10:56:58.168032,2018-07-17 10:56:58.168032
50,4,227,2018-07-17 10:56:58.168770,2018-07-17 10:56:58.168770
51,4,190,2018-07-17 10:56:58.169537,2018-07-17 10:56:58.169537
52,4,191,2018-07-17 10:56:58.170547,2018-07-17 10:56:58.170547
53,4,219,2018-07-17 10:56:58.171357,2018-07-17 10:56:58.171357
54,4,211,2018-07-17 10:56:58.171992,2018-07-17 10:56:58.171992
55,4,212,2018-07-17 10:56:58.172620,2018-07-17 10:56:58.172620
56,4,213,2018-07-17 10:56:58.173174,2018-07-17 10:56:58.173174
57,4,214,2018-07-17 10:56:58.173716,2018-07-17 10:56:58.173716
58,5,74,2018-07-17 10:56:58.797311,2018-07-17 10:56:58.797311
59,5,124,2018-07-17 10:56:58.798057,2018-07-17 10:56:58.798057
60,5,125,2018-07-17 10:56:58.798668,2018-07-17 10:56:58.798668
61,5,223,2018-07-17 10:56:58.799249,2018-07-17 10:56:58.799249
62,5,170,2018-07-17 10:56:58.799878,2018-07-17 10:56:58.799878
63,5,131,2018-07-17 10:56:58.800467,2018-07-17 10:56:58.800467
64,5,224,2018-07-17 10:56:58.800906,2018-07-17 10:56:58.800906
65,5,149,2018-07-17 10:56:58.801334,2018-07-17 10:56:58.801334
66,5,134,2018-07-17 10:56:58.801735,2018-07-17 10:56:58.801735
67,5,171,2018-07-17 10:56:58.802190,2018-07-17 10:56:58.802190
68,5,153,2018-07-17 10:56:58.802643,2018-07-17 10:56:58.802643
69,5,157,2018-07-17 10:56:58.803049,2018-07-17 10:56:58.803049
70,5,227,2018-07-17 10:56:58.803486,2018-07-17 10:56:58.803486
71,5,190,2018-07-17 10:56:58.803905,2018-07-17 10:56:58.803905
72,5,211,2018-07-17 10:56:58.804324,2018-07-17 10:56:58.804324
73,5,214,2018-07-17 10:56:58.804727,2018-07-17 10:56:58.804727
74,6,124,2018-07-17 10:56:59.104586,2018-07-17 10:56:59.104586
75,6,223,2018-07-17 10:56:59.105488,2018-07-17 10:56:59.105488
76,6,170,2018-07-17 10:56:59.106197,2018-07-17 10:56:59.106197
77,6,131,2018-07-17 10:56:59.106642,2018-07-17 10:56:59.106642
78,6,224,2018-07-17 10:56:59.107084,2018-07-17 10:56:59.107084
79,6,149,2018-07-17 10:56:59.107533,2018-07-17 10:56:59.107533
80,6,173,2018-07-17 10:56:59.107957,2018-07-17 10:56:59.107957
81,6,171,2018-07-17 10:56:59.108363,2018-07-17 10:56:59.108363
82,6,226,2018-07-17 10:56:59.108814,2018-07-17 10:56:59.108814
83,6,147,2018-07-17 10:56:59.109244,2018-07-17 10:56:59.109244
84,6,172,2018-07-17 10:56:59.109665,2018-07-17 10:56:59.109665
85,6,227,2018-07-17 10:56:59.110067,2018-07-17 10:56:59.110067
86,6,190,2018-07-17 10:56:59.110599,2018-07-17 10:56:59.110599
87,6,210,2018-07-17 10:56:59.111037,2018-07-17 10:56:59.111037
88,6,211,2018-07-17 10:56:59.111454,2018-07-17 10:56:59.111454
89,6,213,2018-07-17 10:56:59.111888,2018-07-17 10:56:59.111888
90,7,141,2018-07-17 10:56:59.497741,2018-07-17 10:56:59.497741
91,7,223,2018-07-17 10:56:59.498645,2018-07-17 10:56:59.498645
92,7,170,2018-07-17 10:56:59.499302,2018-07-17 10:56:59.499302
93,7,224,2018-07-17 10:56:59.499781,2018-07-17 10:56:59.499781
94,7,149,2018-07-17 10:56:59.500211,2018-07-17 10:56:59.500211
95,7,134,2018-07-17 10:56:59.500645,2018-07-17 10:56:59.500645
96,7,226,2018-07-17 10:56:59.501081,2018-07-17 10:56:59.501081
97,7,129,2018-07-17 10:56:59.501510,2018-07-17 10:56:59.501510
98,7,153,2018-07-17 10:56:59.501940,2018-07-17 10:56:59.501940
99,7,227,2018-07-17 10:56:59.502396,2018-07-17 10:56:59.502396
100,7,190,2018-07-17 10:56:59.502834,2018-07-17 10:56:59.502834
101,7,210,2018-07-17 10:56:59.503259,2018-07-17 10:56:59.503259
102,7,211,2018-07-17 10:56:59.503681,2018-07-17 10:56:59.503681
103,7,212,2018-07-17 10:56:59.504107,2018-07-17 10:56:59.504107
104,7,215,2018-07-17 10:56:59.504541,2018-07-17 10:56:59.504541
105,7,214,2018-07-17 10:56:59.504969,2018-07-17 10:56:59.504969
106,8,73,2018-07-17 10:56:59.990353,2018-07-17 10:56:59.990353
107,8,141,2018-07-17 10:56:59.991084,2018-07-17 10:56:59.991084
108,8,170,2018-07-17 10:56:59.991566,2018-07-17 10:56:59.991566
109,8,131,2018-07-17 10:56:59.992001,2018-07-17 10:56:59.992001
110,8,224,2018-07-17 10:56:59.992424,2018-07-17 10:56:59.992424
111,8,149,2018-07-17 10:56:59.992854,2018-07-17 10:56:59.992854
112,8,134,2018-07-17 10:56:59.993295,2018-07-17 10:56:59.993295
113,8,138,2018-07-17 10:56:59.993711,2018-07-17 10:56:59.993711
114,8,226,2018-07-17 10:56:59.994143,2018-07-17 10:56:59.994143
115,8,129,2018-07-17 10:56:59.994574,2018-07-17 10:56:59.994574
116,8,153,2018-07-17 10:56:59.995009,2018-07-17 10:56:59.995009
117,8,190,2018-07-17 10:56:59.995429,2018-07-17 10:56:59.995429
118,8,210,2018-07-17 10:56:59.995861,2018-07-17 10:56:59.995861
119,8,211,2018-07-17 10:56:59.996288,2018-07-17 10:56:59.996288
120,8,212,2018-07-17 10:56:59.996713,2018-07-17 10:56:59.996713
121,8,214,2018-07-17 10:56:59.997138,2018-07-17 10:56:59.997138
122,9,3,2018-07-17 10:57:00.551434,2018-07-17 10:57:00.551434
123,9,125,2018-07-17 10:57:00.552475,2018-07-17 10:57:00.552475
124,9,141,2018-07-17 10:57:00.553100,2018-07-17 10:57:00.553100
125,9,223,2018-07-17 10:57:00.553618,2018-07-17 10:57:00.553618
126,9,170,2018-07-17 10:57:00.554064,2018-07-17 10:57:00.554064
127,9,224,2018-07-17 10:57:00.554501,2018-07-17 10:57:00.554501
128,9,176,2018-07-17 10:57:00.554933,2018-07-17 10:57:00.554933
129,9,134,2018-07-17 10:57:00.555362,2018-07-17 10:57:00.555362
130,9,146,2018-07-17 10:57:00.555794,2018-07-17 10:57:00.555794
131,9,226,2018-07-17 10:57:00.556216,2018-07-17 10:57:00.556216
132,9,147,2018-07-17 10:57:00.556632,2018-07-17 10:57:00.556632
133,9,119,2018-07-17 10:57:00.557062,2018-07-17 10:57:00.557062
134,9,190,2018-07-17 10:57:00.557482,2018-07-17 10:57:00.557482
135,9,211,2018-07-17 10:57:00.557909,2018-07-17 10:57:00.557909
136,9,217,2018-07-17 10:57:00.558346,2018-07-17 10:57:00.558346
137,9,214,2018-07-17 10:57:00.558777,2018-07-17 10:57:00.558777
138,10,229,2018-07-17 10:57:01.158895,2018-07-17 10:57:01.158895
139,10,193,2018-07-17 10:57:01.159794,2018-07-17 10:57:01.159794
140,10,141,2018-07-17 10:57:01.160571,2018-07-17 10:57:01.160571
141,10,224,2018-07-17 10:57:01.161197,2018-07-17 10:57:01.161197
142,10,225,2018-07-17 10:57:01.161685,2018-07-17 10:57:01.161685
143,10,134,2018-07-17 10:57:01.162147,2018-07-17 10:57:01.162147
144,10,137,2018-07-17 10:57:01.162606,2018-07-17 10:57:01.162606
145,10,145,2018-07-17 10:57:01.163013,2018-07-17 10:57:01.163013
146,10,171,2018-07-17 10:57:01.163471,2018-07-17 10:57:01.163471
147,10,147,2018-07-17 10:57:01.163937,2018-07-17 10:57:01.163937
148,10,227,2018-07-17 10:57:01.164360,2018-07-17 10:57:01.164360
149,10,102,2018-07-17 10:57:01.164853,2018-07-17 10:57:01.164853
150,10,210,2018-07-17 10:57:01.165292,2018-07-17 10:57:01.165292
151,10,211,2018-07-17 10:57:01.165721,2018-07-17 10:57:01.165721
152,10,212,2018-07-17 10:57:01.166156,2018-07-17 10:57:01.166156
153,10,214,2018-07-17 10:57:01.166624,2018-07-17 10:57:01.166624
154,11,5,2018-07-17 10:57:02.042115,2018-07-17 10:57:02.042115
155,11,178,2018-07-17 10:57:02.042638,2018-07-17 10:57:02.042638
156,11,124,2018-07-17 10:57:02.043078,2018-07-17 10:57:02.043078
157,11,131,2018-07-17 10:57:02.043492,2018-07-17 10:57:02.043492
158,11,224,2018-07-17 10:57:02.043938,2018-07-17 10:57:02.043938
159,11,149,2018-07-17 10:57:02.044350,2018-07-17 10:57:02.044350
160,11,134,2018-07-17 10:57:02.044779,2018-07-17 10:57:02.044779
161,11,137,2018-07-17 10:57:02.045210,2018-07-17 10:57:02.045210
162,11,145,2018-07-17 10:57:02.045637,2018-07-17 10:57:02.045637
163,11,171,2018-07-17 10:57:02.046064,2018-07-17 10:57:02.046064
164,11,129,2018-07-17 10:57:02.046519,2018-07-17 10:57:02.046519
165,11,147,2018-07-17 10:57:02.046974,2018-07-17 10:57:02.046974
166,11,190,2018-07-17 10:57:02.047401,2018-07-17 10:57:02.047401
167,11,210,2018-07-17 10:57:02.047849,2018-07-17 10:57:02.047849
168,11,211,2018-07-17 10:57:02.048367,2018-07-17 10:57:02.048367
169,11,217,2018-07-17 10:57:02.048778,2018-07-17 10:57:02.048778
170,12,1,2018-07-17 10:57:02.968472,2018-07-17 10:57:02.968472
171,12,22,2018-07-17 10:57:02.968939,2018-07-17 10:57:02.968939
172,12,181,2018-07-17 10:57:02.969395,2018-07-17 10:57:02.969395
173,12,124,2018-07-17 10:57:02.969825,2018-07-17 10:57:02.969825
174,12,125,2018-07-17 10:57:02.970288,2018-07-17 10:57:02.970288
175,12,223,2018-07-17 10:57:02.970720,2018-07-17 10:57:02.970720
176,12,170,2018-07-17 10:57:02.971157,2018-07-17 10:57:02.971157
177,12,131,2018-07-17 10:57:02.971567,2018-07-17 10:57:02.971567
178,12,224,2018-07-17 10:57:02.971995,2018-07-17 10:57:02.971995
179,12,149,2018-07-17 10:57:02.972415,2018-07-17 10:57:02.972415
180,12,134,2018-07-17 10:57:02.972846,2018-07-17 10:57:02.972846
181,12,173,2018-07-17 10:57:02.973303,2018-07-17 10:57:02.973303
182,12,145,2018-07-17 10:57:02.973734,2018-07-17 10:57:02.973734
183,12,171,2018-07-17 10:57:02.974160,2018-07-17 10:57:02.974160
184,12,226,2018-07-17 10:57:02.974621,2018-07-17 10:57:02.974621
185,12,129,2018-07-17 10:57:02.975054,2018-07-17 10:57:02.975054
186,12,227,2018-07-17 10:57:02.975482,2018-07-17 10:57:02.975482
187,12,119,2018-07-17 10:57:02.975897,2018-07-17 10:57:02.975897
188,12,117,2018-07-17 10:57:02.976323,2018-07-17 10:57:02.976323
189,12,200,2018-07-17 10:57:02.976750,2018-07-17 10:57:02.976750
190,12,210,2018-07-17 10:57:02.977178,2018-07-17 10:57:02.977178
191,12,211,2018-07-17 10:57:02.977610,2018-07-17 10:57:02.977610
192,12,212,2018-07-17 10:57:02.978039,2018-07-17 10:57:02.978039
193,12,217,2018-07-17 10:57:02.978495,2018-07-17 10:57:02.978495
194,13,1,2018-07-17 10:57:04.877658,2018-07-17 10:57:04.877658
195,13,3,2018-07-17 10:57:04.878126,2018-07-17 10:57:04.878126
196,13,179,2018-07-17 10:57:04.878594,2018-07-17 10:57:04.878594
197,13,74,2018-07-17 10:57:04.879028,2018-07-17 10:57:04.879028
198,13,125,2018-07-17 10:57:04.879436,2018-07-17 10:57:04.879436
199,13,141,2018-07-17 10:57:04.879886,2018-07-17 10:57:04.879886
200,13,142,2018-07-17 10:57:04.880325,2018-07-17 10:57:04.880325
201,13,170,2018-07-17 10:57:04.880762,2018-07-17 10:57:04.880762
202,13,131,2018-07-17 10:57:04.881237,2018-07-17 10:57:04.881237
203,13,224,2018-07-17 10:57:04.881926,2018-07-17 10:57:04.881926
204,13,149,2018-07-17 10:57:04.882543,2018-07-17 10:57:04.882543
205,13,134,2018-07-17 10:57:04.883100,2018-07-17 10:57:04.883100
206,13,173,2018-07-17 10:57:04.883587,2018-07-17 10:57:04.883587
207,13,145,2018-07-17 10:57:04.884076,2018-07-17 10:57:04.884076
208,13,138,2018-07-17 10:57:04.884654,2018-07-17 10:57:04.884654
209,13,171,2018-07-17 10:57:04.885621,2018-07-17 10:57:04.885621
210,13,226,2018-07-17 10:57:04.886480,2018-07-17 10:57:04.886480
211,13,129,2018-07-17 10:57:04.887260,2018-07-17 10:57:04.887260
212,13,192,2018-07-17 10:57:04.888282,2018-07-17 10:57:04.888282
213,13,190,2018-07-17 10:57:04.888969,2018-07-17 10:57:04.888969
214,13,210,2018-07-17 10:57:04.889536,2018-07-17 10:57:04.889536
215,13,211,2018-07-17 10:57:04.890136,2018-07-17 10:57:04.890136
216,13,213,2018-07-17 10:57:04.890786,2018-07-17 10:57:04.890786
217,13,214,2018-07-17 10:57:04.891386,2018-07-17 10:57:04.891386
218,14,22,2018-07-17 10:57:06.371739,2018-07-17 10:57:06.371739
219,14,2,2018-07-17 10:57:06.372225,2018-07-17 10:57:06.372225
220,14,74,2018-07-17 10:57:06.372659,2018-07-17 10:57:06.372659
221,14,188,2018-07-17 10:57:06.373093,2018-07-17 10:57:06.373093
222,14,124,2018-07-17 10:57:06.373519,2018-07-17 10:57:06.373519
223,14,125,2018-07-17 10:57:06.373948,2018-07-17 10:57:06.373948
224,14,223,2018-07-17 10:57:06.374394,2018-07-17 10:57:06.374394
225,14,170,2018-07-17 10:57:06.374840,2018-07-17 10:57:06.374840
226,14,224,2018-07-17 10:57:06.375259,2018-07-17 10:57:06.375259
227,14,134,2018-07-17 10:57:06.375698,2018-07-17 10:57:06.375698
228,14,137,2018-07-17 10:57:06.376134,2018-07-17 10:57:06.376134
229,14,133,2018-07-17 10:57:06.376554,2018-07-17 10:57:06.376554
